object,stim1_responder,stim2_responder,dying,bbox,missing_tps,well,condition
B2_F1_obj1,True,True,False,normal,[],B2,Compound A 10 uM
B2_F1_obj2,False,True,False,normal,[],B2,Compound A 10 uM
B2_F1_obj3,False,False,False,normal,[],B2,Compound A 10 uM
B2_F1_obj4,False,True,False,normal,[],B2,Compound A 10 uM
B2_F1_obj5,False,False,False,normal,[],B2,Compound A 10 uM
B2_F1_obj6,True,True,False,huge,[],B2,Compound A 10 uM
B2_F1_obj7,False,True,False,normal,[],B2,Compound A 10 uM
B2_F1_obj8,True,True,False,normal,[],B2,Compound A 10 uM
B2_F1_obj9,True,True,False,normal,[],B2,Compound A 10 uM
B2_F1_obj10,True,True,False,normal,[],B2,Compound A 10 uM
B2_F1_obj11,True,True,False,normal,[],B2,Compound A 10 uM
B2_F1_obj12,False,True,False,normal,[],B2,Compound A 10 uM
B2_F1_obj13,True,True,False,normal,"[8, 17, 18]",B2,Compound A 10 uM
B2_F1_obj14,True,True,False,normal,[],B2,Compound A 10 uM
B2_F1_obj15,True,True,False,normal,[],B2,Compound A 10 uM
B2_F1_obj16,False,True,False,normal,[],B2,Compound A 10 uM
B2_F1_obj17,True,True,False,normal,[],B2,Compound A 10 uM
B2_F1_obj18,True,True,False,tiny,[],B2,Compound A 10 uM
B2_F1_obj19,False,False,False,normal,[],B2,Compound A 10 uM
B2_F1_obj20,False,True,False,normal,[],B2,Compound A 10 uM
B2_F1_obj21,True,True,False,normal,[],B2,Compound A 10 uM
B2_F1_obj22,True,True,False,normal,[],B2,Compound A 10 uM
B2_F2_obj1,False,True,False,normal,[],B2,Compound A 10 uM
B2_F2_obj2,False,True,False,normal,[],B2,Compound A 10 uM
B2_F2_obj3,True,True,False,normal,[],B2,Compound A 10 uM
B2_F2_obj4,False,True,False,normal,[],B2,Compound A 10 uM
B2_F2_obj5,False,True,False,normal,[],B2,Compound A 10 uM
B2_F2_obj6,True,True,False,normal,[],B2,Compound A 10 uM
B2_F2_obj7,True,True,False,normal,[],B2,Compound A 10 uM
B2_F2_obj8,True,True,False,normal,[],B2,Compound A 10 uM
B2_F2_obj9,False,True,False,normal,[],B2,Compound A 10 uM
B2_F2_obj10,True,True,False,normal,[],B2,Compound A 10 uM
B2_F2_obj11,False,True,False,normal,[],B2,Compound A 10 uM
B2_F2_obj12,True,True,False,normal,[],B2,Compound A 10 uM
B2_F2_obj13,True,True,False,normal,[],B2,Compound A 10 uM
B2_F2_obj14,True,True,False,normal,[],B2,Compound A 10 uM
B2_F2_obj15,False,False,False,normal,"[23, 25]",B2,Compound A 10 uM
B2_F2_obj16,True,True,False,normal,[],B2,Compound A 10 uM
B2_F2_obj17,True,True,False,normal,[],B2,Compound A 10 uM
B2_F2_obj18,False,True,False,normal,[],B2,Compound A 10 uM
B2_F2_obj19,True,True,False,normal,"[14, 18, 20]",B2,Compound A 10 uM
B3_F1_obj1,False,True,False,normal,[],B3,Compound A 10 uM
B3_F1_obj2,False,True,False,normal,[],B3,Compound A 10 uM
B3_F1_obj3,True,True,False,normal,[],B3,Compound A 10 uM
B3_F1_obj4,True,True,False,normal,[],B3,Compound A 10 uM
B3_F1_obj5,True,True,False,normal,[],B3,Compound A 10 uM
B3_F1_obj6,False,True,False,huge,[],B3,Compound A 10 uM
B3_F1_obj7,False,False,False,normal,[],B3,Compound A 10 uM
B3_F1_obj8,False,False,False,normal,[],B3,Compound A 10 uM
B3_F1_obj9,True,True,False,normal,[],B3,Compound A 10 uM
B3_F1_obj10,False,False,False,normal,[],B3,Compound A 10 uM
B3_F1_obj11,True,True,True,normal,[],B3,Compound A 10 uM
B3_F1_obj12,True,True,False,normal,[],B3,Compound A 10 uM
B3_F1_obj13,True,True,False,normal,[],B3,Compound A 10 uM
B3_F1_obj14,False,True,False,normal,[],B3,Compound A 10 uM
B3_F1_obj15,True,True,False,normal,[],B3,Compound A 10 uM
B3_F1_obj16,False,True,False,normal,[],B3,Compound A 10 uM
B3_F1_obj17,True,True,False,normal,[],B3,Compound A 10 uM
B3_F1_obj18,True,True,False,normal,[],B3,Compound A 10 uM
B3_F1_obj19,False,True,False,normal,[],B3,Compound A 10 uM
B3_F1_obj20,False,True,False,normal,[],B3,Compound A 10 uM
B3_F1_obj21,False,False,False,normal,[],B3,Compound A 10 uM
B3_F1_obj22,True,True,False,normal,[],B3,Compound A 10 uM
B3_F1_obj23,False,True,False,normal,[],B3,Compound A 10 uM
B3_F1_obj24,True,True,False,normal,[],B3,Compound A 10 uM
B3_F2_obj1,False,True,False,normal,[],B3,Compound A 10 uM
B3_F2_obj2,False,False,False,normal,[],B3,Compound A 10 uM
B3_F2_obj3,True,True,False,normal,[],B3,Compound A 10 uM
B3_F2_obj4,True,True,False,normal,[],B3,Compound A 10 uM
B3_F2_obj5,True,True,False,normal,[],B3,Compound A 10 uM
B3_F2_obj6,False,True,False,tiny,[],B3,Compound A 10 uM
B3_F2_obj7,True,True,False,normal,[],B3,Compound A 10 uM
B3_F2_obj8,False,False,False,normal,"[16, 17, 25]",B3,Compound A 10 uM
B3_F2_obj9,True,True,False,normal,[],B3,Compound A 10 uM
B3_F2_obj10,True,True,False,normal,[],B3,Compound A 10 uM
B3_F2_obj11,True,True,False,normal,[],B3,Compound A 10 uM
B3_F2_obj12,False,False,False,normal,[],B3,Compound A 10 uM
B3_F2_obj13,False,True,False,normal,[],B3,Compound A 10 uM
B3_F2_obj14,True,True,False,normal,"[19, 26]",B3,Compound A 10 uM
B3_F2_obj15,False,False,False,tiny,[],B3,Compound A 10 uM
B3_F2_obj16,True,True,False,normal,[],B3,Compound A 10 uM
B3_F2_obj17,True,True,False,normal,[],B3,Compound A 10 uM
B3_F2_obj18,True,True,False,tiny,[],B3,Compound A 10 uM
B3_F2_obj19,False,True,False,normal,[],B3,Compound A 10 uM
B3_F2_obj20,False,True,False,tiny,[],B3,Compound A 10 uM
B3_F2_obj21,False,True,False,normal,[],B3,Compound A 10 uM
B3_F2_obj22,True,True,False,normal,[],B3,Compound A 10 uM
B4_F1_obj1,False,False,False,normal,[],B4,Compound A 1 uM
B4_F1_obj2,False,True,False,normal,[],B4,Compound A 1 uM
B4_F1_obj3,False,True,False,normal,[],B4,Compound A 1 uM
B4_F1_obj4,False,True,False,normal,[],B4,Compound A 1 uM
B4_F1_obj5,False,True,False,normal,[],B4,Compound A 1 uM
B4_F1_obj6,False,True,False,normal,[],B4,Compound A 1 uM
