Database name	PTHTS example
Database link	local
Evaluation signature	synthetic-Experiment_090826_1
Plate Name	Example plate
Barcode	EXAMPLE-0001
Measurement	Experiment_090826_1
Evaluation	Evaluation1
Export type	Objects
Population	Cells
[Data]
Row	Column	Plane	Timepoint	Field	Object No	X	Y	Bounding Box	Position X [µm]	Position Y [µm]	Cells - Intensity Cell Alexa 488 Mean	Cells - Cell Area [µm²]	Cells - Cell Roundness	Compound	Concentration	Cell Type
2	2	1	1	1	1	332	600	[320, 585, 344, 615]	199.2	360.0	4111.32	259.2	0.806	Compound A 10 uM		Example cells
2	2	1	1	1	2	69	721	[54, 704, 85, 738]	41.7	432.6	4996.19	379.44	0.562	Compound A 10 uM		Example cells
2	2	1	1	1	3	776	259	[759, 247, 794, 271]	465.9	155.4	4395.57	302.4	0.962	Compound A 10 uM		Example cells
2	2	1	1	1	4	846	68	[828, 56, 865, 80]	507.9	40.8	6121.33	319.68	0.9	Compound A 10 uM		Example cells
2	2	1	1	1	5	721	470	[703, 458, 740, 482]	432.9	282.0	6032.7	319.68	0.624	Compound A 10 uM		Example cells
2	2	1	1	1	6	659	201	[560, 119, 759, 283]	395.7	120.6	3674.67	11748.96	0.702	Compound A 10 uM		Example cells
2	2	1	1	1	7	600	276	[583, 267, 618, 285]	360.3	165.6	3846.53	226.8	0.759	Compound A 10 uM		Example cells
2	2	1	1	1	8	734	218	[719, 199, 749, 238]	440.4	131.1	3286.81	421.2	0.952	Compound A 10 uM		Example cells
2	2	1	1	1	9	590	264	[574, 246, 607, 282]	354.3	158.4	4923.52	427.68	0.866	Compound A 10 uM		Example cells
2	2	1	1	1	10	445	518	[435, 498, 455, 539]	267.0	311.1	2809.48	295.2	0.624	Compound A 10 uM		Example cells
2	2	1	1	1	11	825	643	[811, 631, 840, 656]	495.3	386.1	4336.44	261.0	0.604	Compound A 10 uM		Example cells
2	2	1	1	1	12	265	784	[247, 773, 284, 795]	159.3	470.4	3469.57	293.04	0.701	Compound A 10 uM		Example cells
2	2	1	1	1	13	307	276	[294, 258, 321, 294]	184.5	165.6	3518.19	349.92	0.658	Compound A 10 uM		Example cells
2	2	1	1	1	14	321	34	[305, 24, 338, 44]	192.9	20.4	4343.37	237.6	0.811	Compound A 10 uM		Example cells
2	2	1	1	1	15	90	68	[81, 51, 99, 86]	54.0	41.1	3904.66	226.8	0.826	Compound A 10 uM		Example cells
2	2	1	1	1	16	400	685	[383, 665, 417, 706]	240.0	411.3	3293.0	501.84	0.955	Compound A 10 uM		Example cells
2	2	1	1	1	17	504	632	[485, 613, 523, 651]	302.4	379.2	3136.81	519.84	0.846	Compound A 10 uM		Example cells
2	2	1	1	1	18	539	43	[537, 40, 542, 46]	323.7	25.8	4038.07	10.8	0.784	Compound A 10 uM		Example cells
2	2	1	1	1	19	822	329	[802, 313, 842, 346]	493.2	197.7	3681.2	475.2	0.964	Compound A 10 uM		Example cells
2	2	1	1	1	20	158	717	[146, 697, 171, 737]	95.1	430.2	3216.68	360.0	0.652	Compound A 10 uM		Example cells
2	2	1	1	1	21	788	155	[778, 139, 798, 172]	472.8	93.3	4155.8	237.6	0.729	Compound A 10 uM		Example cells
2	2	1	1	1	22	275	516	[259, 506, 291, 526]	165.0	309.6	2836.7	230.4	0.557	Compound A 10 uM		Example cells
2	2	1	1	2	1	592	42	[572, 22, 613, 63]	355.5	25.5	4416.96	605.16	0.842	Compound A 10 uM		Example cells
2	2	1	1	2	2	45	816	[30, 804, 60, 829]	27.0	489.9	3453.91	270.0	0.717	Compound A 10 uM		Example cells
2	2	1	1	2	3	66	782	[54, 764, 78, 800]	39.6	469.2	3614.74	311.04	0.572	Compound A 10 uM		Example cells
2	2	1	1	2	4	200	844	[185, 834, 215, 854]	120.0	506.4	3645.15	216.0	0.694	Compound A 10 uM		Example cells
2	2	1	1	2	5	45	239	[32, 220, 58, 258]	27.0	143.4	2092.59	355.68	0.886	Compound A 10 uM		Example cells
2	2	1	1	2	6	363	416	[351, 404, 376, 429]	218.1	249.9	4593.27	225.0	0.63	Compound A 10 uM		Example cells
2	2	1	1	2	7	440	720	[423, 711, 457, 730]	264.0	432.3	3227.61	232.56	0.604	Compound A 10 uM		Example cells
2	2	1	1	2	8	362	512	[344, 492, 380, 533]	217.2	307.5	4743.32	531.36	0.688	Compound A 10 uM		Example cells
2	2	1	1	2	9	360	869	[351, 855, 370, 883]	216.3	521.4	4453.9	191.52	0.823	Compound A 10 uM		Example cells
2	2	1	1	2	10	781	410	[763, 393, 800, 428]	468.9	246.3	3979.23	466.2	0.758	Compound A 10 uM		Example cells
2	2	1	1	2	11	96	714	[82, 698, 110, 731]	57.6	428.7	3154.26	332.64	0.76	Compound A 10 uM		Example cells
2	2	1	1	2	12	241	334	[232, 319, 250, 349]	144.6	200.4	3294.65	194.4	0.906	Compound A 10 uM		Example cells
2	2	1	1	2	13	459	767	[441, 757, 478, 778]	275.7	460.5	2994.08	279.72	0.686	Compound A 10 uM		Example cells
2	2	1	1	2	14	672	543	[656, 533, 689, 554]	403.5	326.1	3154.37	249.48	0.654	Compound A 10 uM		Example cells
2	2	1	1	2	15	820	246	[810, 232, 830, 260]	492.0	147.6	3109.62	201.6	0.921	Compound A 10 uM		Example cells
