Row	Column	Field	Plane	Timepoint	Sequence	Channel ID	Channel Name	Channel Type	Time Stamp	Position X [µm]	Position Y [µm]	Position Z [µm]	URL
2	2	1	1	1	1	1	Alexa 488	Fluorescence	2026-09-08T10:15:00.000	0.0	0.0	3.2	Images/r02c02f01p01-ch1sk1fk1fl1.tiff
2	2	1	1	2	2	1	Alexa 488	Fluorescence	2026-09-08T10:15:02.100	0.0	0.0	3.2	Images/r02c02f01p01-ch1sk2fk1fl1.tiff
2	2	1	1	3	2	1	Alexa 488	Fluorescence	2026-09-08T10:15:04.200	0.0	0.0	3.2	Images/r02c02f01p01-ch1sk3fk1fl1.tiff
2	2	1	1	4	2	1	Alexa 488	Fluorescence	2026-09-08T10:15:06.300	0.0	0.0	3.2	Images/r02c02f01p01-ch1sk4fk1fl1.tiff
2	2	1	1	5	2	1	Alexa 488	Fluorescence	2026-09-08T10:15:08.400	0.0	0.0	3.2	Images/r02c02f01p01-ch1sk5fk1fl1.tiff
2	2	1	1	6	2	1	Alexa 488	Fluorescence	2026-09-08T10:15:10.500	0.0	0.0	3.2	Images/r02c02f01p01-ch1sk6fk1fl1.tiff
2	2	1	1	7	3	1	Alexa 488	Fluorescence	2026-09-08T10:15:12.600	0.0	0.0	3.2	Images/r02c02f01p01-ch1sk7fk1fl1.tiff
2	2	1	1	8	3	1	Alexa 488	Fluorescence	2026-09-08T10:15:14.700	0.0	0.0	3.2	Images/r02c02f01p01-ch1sk8fk1fl1.tiff
2	2	1	1	9	3	1	Alexa 488	Fluorescence	2026-09-08T10:15:16.800	0.0	0.0	3.2	Images/r02c02f01p01-ch1sk9fk1fl1.tiff
2	2	1	1	10	3	1	Alexa 488	Fluorescence	2026-09-08T10:15:18.900	0.0	0.0	3.2	Images/r02c02f01p01-ch1sk10fk1fl1.tiff
2	2	1	1	11	3	1	Alexa 488	Fluorescence	2026-09-08T10:15:21.000	0.0	0.0	3.2	Images/r02c02f01p01-ch1sk11fk1fl1.tiff
2	2	1	1	12	3	1	Alexa 488	Fluorescence	2026-09-08T10:15:23.100	0.0	0.0	3.2	Images/r02c02f01p01-ch1sk12fk1fl1.tiff
2	2	1	1	13	3	1	Alexa 488	Fluorescence	2026-09-08T10:15:25.200	0.0	0.0	3.2	Images/r02c02f01p01-ch1sk13fk1fl1.tiff
